From	To
SNORD114-18	767600
SNORD114-18	767608
SNORD114-18	767609
SNORD114-18	767606
SNORD114-18	767604
SNORD114-18	767605
SNORD114-18	767603
SNORD114-18	767612
SNORD114-18	767564
SNORD114-18	767581
SNORD114-18	767611
SNORD114-18	767563
SNORD114-18	767582
SNORD114-18	767610
SNORD114-18	767562
SNORD114-18	767580
SNORD114-18	767561
SNORD114-18	767568
SNORD114-18	767567
SNORD114-18	767566
SNORD114-18	767565
SNORD114-18	767589
SNORD114-18	767588
SNORD114-18	767585
SNORD114-18	767583
SNORD114-18	767584
SNORD114-19	767569
SNORD114-19	767590
SNORD114-19	767591
SNORD114-19	767592
SNORD114-19	767593
SNORD114-19	767594
SNORD114-19	767595
SNORD114-19	767577
SNORD114-19	767596
SNORD114-19	767578
SNORD114-19	767597
SNORD114-19	767579
SNORD114-19	767598
SNORD114-19	767599
SNORD114-19	767600
SNORD114-19	767608
SNORD114-19	767609
SNORD114-19	767606
SNORD114-19	767604
SNORD114-19	767605
SNORD114-19	767603
SNORD114-19	767612
SNORD114-19	767564
SNORD114-19	767581
SNORD114-19	767611
SNORD114-19	767563
SNORD114-19	767582
SNORD114-19	767610
SNORD114-19	767562
SNORD114-19	767580
SNORD114-19	767561
SNORD114-19	767568
SNORD114-19	767567
SNORD114-19	767566
SNORD114-19	767565
SNORD114-19	767589
SNORD114-19	767588
SNORD114-19	767585
SNORD114-19	767583
SNORD114-19	767584
SNORD114-16	767569
SNORD114-16	767590
SNORD114-16	767591
SNORD114-16	767592
SNORD114-16	767593
SNORD114-16	767594
SNORD114-16	767595
SNORD114-16	767577
SNORD114-16	767596
SNORD114-16	767578
SNORD114-16	767597
SNORD114-16	767579
SNORD114-16	767598
SNORD114-16	767599
SNORD114-16	767600
SNORD114-16	767608
SNORD114-16	767609
SNORD114-16	767606
SNORD114-16	767604
SNORD114-16	767605
SNORD114-16	767603
SNORD114-16	767612
SNORD114-16	767564
SNORD114-16	767581
SNORD114-16	767611
SNORD114-16	767563
SNORD114-16	767582
SNORD114-16	767610
SNORD114-16	767562
SNORD114-16	767580
SNORD114-16	767561
SNORD114-16	767568
SNORD114-16	767567
SNORD114-16	767566
SNORD114-16	767565
SNORD114-16	767589
SNORD114-16	767588
SNORD114-16	767585
SNORD114-16	767583
SNORD114-16	767584
SNORD114-17	767569
SNORD114-17	767590
SNORD114-17	767591
SNORD114-17	767592
SNORD114-17	767593
SNORD114-17	767594
SNORD114-17	767595
SNORD114-17	767577
SNORD114-17	767596
SNORD114-17	767578
SNORD114-17	767597
SNORD114-17	767579
SNORD114-17	767598
SNORD114-17	767599
SNORD114-17	767600
SNORD114-17	767608
SNORD114-17	767609
SNORD114-17	767606
SNORD114-17	767604
SNORD114-17	767605
SNORD114-17	767603
SNORD114-17	767612
SNORD114-17	767564
SNORD114-17	767581
SNORD114-17	767611
SNORD114-17	767563
SNORD114-17	767582
SNORD114-17	767610
SNORD114-17	767562
SNORD114-17	767580
SNORD114-17	767561
SNORD114-17	767568
SNORD114-17	767567
SNORD114-17	767566
SNORD114-17	767565
SNORD114-17	767589
SNORD114-17	767588
SNORD114-17	767585
SNORD114-17	767583
SNORD114-17	767584
SNORD114-22	767569
SNORD114-22	767590
SNORD114-22	767591
SNORD114-22	767592
SNORD114-22	767593
SNORD114-22	767594
SNORD114-22	767595
SNORD114-22	767577
SNORD114-22	767596
SNORD114-22	767578
SNORD114-22	767597
SNORD114-22	767579
SNORD114-22	767598
SNORD114-22	767599
SNORD114-22	767600
SNORD114-22	767608
SNORD114-22	767609
SNORD114-22	767606
SNORD114-22	767604
SNORD114-22	767605
SNORD114-22	767603
SNORD114-22	767612
SNORD114-22	767564
SNORD114-22	767581
SNORD114-22	767611
SNORD114-22	767563
SNORD114-22	767582
SNORD114-22	767610
SNORD114-22	767562
SNORD114-22	767580
SNORD114-22	767561
SNORD114-22	767568
SNORD114-22	767567
SNORD114-22	767566
SNORD114-22	767565
SNORD114-22	767589
SNORD114-22	767588
SNORD114-22	767585
SNORD114-22	767583
SNORD114-22	767584
SNORD114-21	767569
SNORD114-21	767590
SNORD114-21	767591
SNORD114-21	767592
SNORD114-21	767593
SNORD114-21	767594
SNORD114-21	767595
SNORD114-21	767577
SNORD114-21	767596
SNORD114-21	767578
SNORD114-21	767597
SNORD114-21	767579
SNORD114-21	767598
SNORD114-21	767599
SNORD114-21	767600
SNORD114-21	767608
SNORD114-21	767609
SNORD114-21	767606
SNORD114-21	767604
SNORD114-21	767605
SNORD114-21	767603
SNORD114-21	767612
SNORD114-21	767564
SNORD114-21	767581
SNORD114-21	767611
SNORD114-21	767563
SNORD114-21	767582
SNORD114-21	767610
SNORD114-21	767562
SNORD114-21	767580
SNORD114-21	767561
SNORD114-21	767568
SNORD114-21	767567
SNORD114-21	767566
SNORD114-21	767565
SNORD114-21	767589
SNORD114-21	767588
SNORD114-21	767585
SNORD114-21	767583
SNORD114-21	767584
SNORD114-20	767569
SNORD114-20	767590
SNORD114-20	767591
SNORD114-20	767592
SNORD114-20	767593
SNORD114-20	767594
SNORD114-20	767595
SNORD114-20	767577
SNORD114-20	767596
SNORD114-20	767578
SNORD114-20	767597
SNORD114-20	767579
SNORD114-20	767598
SNORD114-20	767599
SNORD114-20	767600
SNORD114-20	767608
SNORD114-20	767609
SNORD114-20	767606
SNORD114-20	767604
SNORD114-20	767605
SNORD114-20	767603
SNORD114-20	767612
SNORD114-20	767564
SNORD114-20	767581
SNORD114-20	767611
SNORD114-20	767563
SNORD114-20	767582
SNORD114-20	767610
SNORD114-20	767562
SNORD114-20	767580
SNORD114-20	767561
SNORD114-20	767568
SNORD114-20	767567
SNORD114-20	767566
SNORD114-20	767565
SNORD114-20	767589
SNORD114-20	767588
SNORD114-20	767585
SNORD114-20	767583
SNORD114-20	767584
ALS2CR12	130540
SCN7A	6332
ALS2CR11	151254
ACAD8	27034
ACAD9	28976
IMPDH1	3614
IMPDH2	3615
ACADM	34
ACADS	35
SNORD114-23	767569
SNORD114-23	767590
SNORD114-23	767591
SNORD114-23	767592
SNORD114-23	767593
SNORD114-23	767594
SNORD114-23	767595
SNORD114-23	767577
SNORD114-23	767596
SNORD114-23	767578
SNORD114-23	767597
SNORD114-23	767579
SNORD114-23	767598
SNORD114-23	767599
SNORD114-23	767600
SNORD114-23	767608
SNORD114-23	767609
SNORD114-23	767606
SNORD114-23	767604
SNORD114-23	767605
SNORD114-23	767603
SNORD114-23	767612
SNORD114-23	767564
SNORD114-23	767581
SNORD114-23	767611
SNORD114-23	767563
SNORD114-23	767582
SNORD114-23	767610
SNORD114-23	767562
SNORD114-23	767580
SNORD114-23	767561
SNORD114-23	767568
SNORD114-23	767567
SNORD114-23	767566
SNORD114-23	767565
SNORD114-23	767589
SNORD114-23	767588
SNORD114-23	767585
SNORD114-23	767583
SNORD114-23	767584
LOC441601	441601
SNORD114-24	767569
SNORD114-24	767590
SNORD114-24	767591
SNORD114-24	767592
SNORD114-24	767593
SNORD114-24	767594
SNORD114-24	767595
SNORD114-24	767577
SNORD114-24	767596
SNORD114-24	767578
SNORD114-24	767597
SNORD114-24	767579
SNORD114-24	767598
SNORD114-24	767599
SNORD114-24	767600
SNORD114-24	767608
SNORD114-24	767609
SNORD114-24	767606
SNORD114-24	767604
SNORD114-24	767605
SNORD114-24	767603
SNORD114-24	767612
SNORD114-24	767564
SNORD114-24	767581
SNORD114-24	767611
SNORD114-24	767563
SNORD114-24	767582
SNORD114-24	767610
SNORD114-24	767562
SNORD114-24	767580
SNORD114-24	767561
SNORD114-24	767568
SNORD114-24	767567
SNORD114-24	767566
SNORD114-24	767565
SNORD114-24	767589
SNORD114-24	767588
SNORD114-24	767585
SNORD114-24	767583
SNORD114-24	767584
GAN	8139
SNORD114-25	767569
SNORD114-25	767590
SNORD114-25	767591
SNORD114-25	767592
SNORD114-25	767593
SNORD114-25	767594
SNORD114-25	767595
SNORD114-25	767577
SNORD114-25	767596
SNORD114-25	767578
SNORD114-25	767597
SNORD114-25	767579
SNORD114-25	767598
SNORD114-25	767599
SNORD114-25	767600
SNORD114-25	767608
SNORD114-25	767609
SNORD114-25	767606
SNORD114-25	767604
SNORD114-25	767605
SNORD114-25	767603
SNORD114-25	767612
SNORD114-25	767564
SNORD114-25	767581
SNORD114-25	767611
SNORD114-25	767563
SNORD114-25	767582
SNORD114-25	767610
SNORD114-25	767562
SNORD114-25	767580
SNORD114-25	767561
SNORD114-25	767568
SNORD114-25	767567
SNORD114-25	767566
SNORD114-25	767565
SNORD114-25	767589
SNORD114-25	767588
SNORD114-25	767585
SNORD114-25	767583
SNORD114-25	767584
SNORD114-26	767569
SNORD114-26	767590
SNORD114-26	767591
SNORD114-26	767592
SNORD114-26	767593
SNORD114-26	767594
SNORD114-26	767595
SNORD114-26	767577
SNORD114-26	767596
SNORD114-26	767578
SNORD114-26	767597
SNORD114-26	767579
SNORD114-26	767598
SNORD114-26	767599
SNORD114-26	767600
SNORD114-26	767608
SNORD114-26	767609
SNORD114-26	767606
SNORD114-26	767604
SNORD114-26	767605
SNORD114-26	767603
SNORD114-26	767612
SNORD114-26	767564
SNORD114-26	767581
SNORD114-26	767611
SNORD114-26	767563
SNORD114-26	767582
SNORD114-26	767610
SNORD114-26	767562
SNORD114-26	767580
SNORD114-26	767561
SNORD114-26	767568
SNORD114-26	767567
SNORD114-26	767566
SNORD114-26	767565
SNORD114-26	767589
SNORD114-26	767588
SNORD114-26	767585
SNORD114-26	767583
SNORD114-26	767584
ACADL	33
SNORD114-27	767569
SNORD114-27	767590
SNORD114-27	767591
SNORD114-27	767592
SNORD114-27	767593
SNORD114-27	767594
SNORD114-27	767595
SNORD114-27	767577
SNORD114-27	767596
SNORD114-27	767578
SNORD114-27	767597
SNORD114-27	767579
SNORD114-27	767598
SNORD114-27	767599
SNORD114-27	767600
SNORD114-27	767608
SNORD114-27	767609
SNORD114-27	767606
SNORD114-27	767604
SNORD114-27	767605
SNORD114-27	767603
SNORD114-27	767612
SNORD114-27	767564
SNORD114-27	767581
SNORD114-27	767611
SNORD114-27	767563
SNORD114-27	767582
SNORD114-27	767610
SNORD114-27	767562
SNORD114-27	767580
SNORD114-27	767561
SNORD114-27	767568
SNORD114-27	767567
SNORD114-27	767566
SNORD114-27	767565
SNORD114-27	767589
SNORD114-27	767588
SNORD114-27	767585
SNORD114-27	767583
SNORD114-27	767584
NEXN	91624
GAL	51083
SNORD114-28	767569
SNORD114-28	767590
SNORD114-28	767591
SNORD114-28	767592
SNORD114-28	767593
SNORD114-28	767594
SNORD114-28	767595
SNORD114-28	767577
SNORD114-28	767596
SNORD114-28	767578
SNORD114-28	767597
SNORD114-28	767579
SNORD114-28	767598
SNORD114-28	767599
SNORD114-28	767600
SNORD114-28	767608
SNORD114-28	767609
SNORD114-28	767606
SNORD114-28	767604
SNORD114-28	767605
SNORD114-28	767603
SNORD114-28	767612
SNORD114-28	767564
SNORD114-28	767581
SNORD114-28	767611
SNORD114-28	767563
SNORD114-28	767582
SNORD114-28	767610
SNORD114-28	767562
SNORD114-28	767580
SNORD114-28	767561
SNORD114-28	767568
SNORD114-28	767567
SNORD114-28	767566
SNORD114-28	767565
SNORD114-28	767589
SNORD114-28	767588
SNORD114-28	767585
SNORD114-28	767583
SNORD114-28	767584
SNORD114-29	767569
SNORD114-29	767590
SNORD114-29	767591
SNORD114-29	767592
SNORD114-29	767593
SNORD114-29	767594
SNORD114-29	767595
SNORD114-29	767577
SNORD114-29	767596
SNORD114-29	767578
SNORD114-29	767597
SNORD114-29	767579
SNORD114-29	767598
SNORD114-29	767599
SNORD114-29	767600
SNORD114-29	767608
SNORD114-29	767609
SNORD114-29	767606
SNORD114-29	767604
SNORD114-29	767605
SNORD114-29	767603
SNORD114-29	767612
SNORD114-29	767564
SNORD114-29	767581
SNORD114-29	767611
SNORD114-29	767563
SNORD114-29	767582
SNORD114-29	767610
SNORD114-29	767562
SNORD114-29	767580
SNORD114-29	767561
SNORD114-29	767568
SNORD114-29	767567
SNORD114-29	767566
SNORD114-29	767565
SNORD114-29	767589
SNORD114-29	767588
SNORD114-29	767585
SNORD114-29	767583
SNORD114-29	767584
GAK	2580
SNORD114-31	767569
SNORD114-31	767590
SNORD114-31	767591
SNORD114-31	767592
SNORD114-31	767593
SNORD114-31	767594
SNORD114-31	767595
SNORD114-31	767577
SNORD114-31	767596
SNORD114-31	767578
SNORD114-31	767597
SNORD114-31	767579
SNORD114-31	767598
SNORD114-31	767599
SNORD114-31	767600
SNORD114-31	767608
SNORD114-31	767609
SNORD114-31	767606
SNORD114-31	767604
SNORD114-31	767605
SNORD114-31	767603
SNORD114-31	767612
SNORD114-31	767564
SNORD114-31	767581
SNORD114-31	767611
SNORD114-31	767563
SNORD114-31	767582
SNORD114-31	767610
SNORD114-31	767562
SNORD114-31	767580
SNORD114-31	767561
SNORD114-31	767568
SNORD114-31	767567
SNORD114-31	767566
SNORD114-31	767565
SNORD114-31	767589
SNORD114-31	767588
SNORD114-31	767585
SNORD114-31	767583
SNORD114-31	767584
SNORD114-30	767569
SNORD114-30	767590
SNORD114-30	767591
SNORD114-30	767592
SNORD114-30	767593
SNORD114-30	767594
SNORD114-30	767595
SNORD114-30	767577
SNORD114-30	767596
SNORD114-30	767578
SNORD114-30	767597
SNORD114-30	767579
SNORD114-30	767598
SNORD114-30	767599
SNORD114-30	767600
SNORD114-30	767608
SNORD114-30	767609
SNORD114-30	767606
SNORD114-30	767604
SNORD114-30	767605
SNORD114-30	767603
SNORD114-30	767612
SNORD114-30	767564
SNORD114-30	767581
SNORD114-30	767611
SNORD114-30	767563
SNORD114-30	767582
SNORD114-30	767610
SNORD114-30	767562
SNORD114-30	767580
SNORD114-30	767561
SNORD114-30	767568
SNORD114-30	767567
SNORD114-30	767566
SNORD114-30	767565
SNORD114-30	767589
SNORD114-30	767588
SNORD114-30	767585
SNORD114-30	767583
SNORD114-30	767584
SNRNP200	23020
SNRNP200	652147
GAA	2548
MAPRE2	10982
MAPRE1	22919
MAPRE3	22924
UGP2	7360
SLC7A6OS	84138
OR1L6	392390
OR1L3	26735
WDYHV1	55093
MGC15885	197003
TFAM	7019
ATIC	471
DCLK3	85443
DCLK2	166614
SCNN1G	6340
SCNN1B	6338
SCN5A	6331
SCNN1A	6337
DCLK1	9201
SCNN1D	6339
GBA	2629
RNF5P1	6048
RNF5P1	286140
OR1M1	125963
GCG	2641
GCK	2645
CUL4A	8451
MEP1A	4224
SCN4B	6330
MEP1B	4225
FAF2	23197
FAF1	11124
RNF113B	140432
GCA	25801
SCN4A	6329
RAB3GAP2	25782
HKR1	284459
IL6ST	3572
RAB3GAP1	22930
NELL1	4745
FST	10468
NELL2	4753
PPCS	79717
WWP2	11060
WWP1	11059
WWOX	51741
FTL	392437
FTL	2512
SGPL1	8879
C5AR1	728
FRY	10129
WASH5P	375260
WASH5P	375690
WASH5P	653635
WASH5P	374666
PPBP	5473
ACAP3	116983
ACAP1	9744
ACAP2	23527
NEK8	284086
ATP5C1	509
OR2D2	120776
NEK9	91754
CDCA7L	55536
OR2D3	120775
NEK4	6787
NEK5	341676
MDH2	4191
NEK6	10783
MDH1	4190
NEK7	140609
OR2B6	26212
FUS	2521
TCEB3CL2	728929
TCEB3CL2	162699
TCEB3CL2	653420
OR2B3	442184
NEK3	4752
NEK2	4751
NEK1	4750
ACAT2	39
ACAT1	38
PPAT	5471
FUZ	80199
NR1H2	7376
PPAN	56342
LOC730102	730102
VRK1	7443
LOC730101	730101
VRK2	7444
VRK3	51231
MAML3	55534
OR2C3	81472
NR1H4	9971
OR2C1	4993
NR1H3	10062
TYROBP	7305
MDFI	4188
OR2A2	442361
OR2A5	393046
OR2A4	79541
OR2A4	401427
OR2A7	79541
OR2A7	401427
TM2D1	83941
TM2D2	83877
MAML1	9794
MAML2	84441
FTO	79068
ALMS1	7840
TM2D3	80213
AFG3L2	10939
PPA2	27068
PPA1	5464
TNKS1BP1	85456
ZFHX4	79776
NR1I3	9970
NR1I2	8856
SUPT16H	11198
SUPT16H	400011
FUK	197258
ZFHX2	85446
ZFHX3	463
ZFHX3	100132068
OR2B2	81697
STEAP3	55240
OR10A5	144124
OR10A6	390093
STEAP4	79689
OR10A3	26496
IER3IP1	51124
OR10A4	283297
EID2B	126272
OR10A2	341276
NUDT9P1	119369
MITD1	129531
